sku,producto,categoria,unidad,precio,stock
BEB-007,Bebida energética 473 ml,Bebidas,pieza,38.00,70
BEB-008,Cerveza clara 355 ml lata,Bebidas,pieza,21.00,180
BEB-009,Cerveza clara 12 pack,Bebidas,paquete,215.00,40
BEB-010,Vino tinto 750 ml,Bebidas,pieza,185.00,25
BEB-011,Té helado 1 L,Bebidas,pieza,26.00,60
BEB-012,Leche de almendra 946 ml,Bebidas,pieza,48.00,45
LIM-001,Detergente en polvo 1 kg,Limpieza,paquete,45.50,70
LIM-002,Jabón lavatrastes líquido 750 ml,Limpieza,pieza,39.00,80
LIM-003,Cloro 950 ml,Limpieza,pieza,22.00,90
LIM-004,Limpiador multiusos 1 L,Limpieza,pieza,35.00,65
LIM-005,Suavizante de telas 850 ml,Limpieza,pieza,42.50,55
LIM-006,Papel higiénico 4 rollos,Limpieza,paquete,42.00,100
LIM-007,Servilletas 500 pzas,Limpieza,paquete,46.00,60
LIM-008,Bolsa para basura grande 10 pzas,Limpieza,paquete,28.00,75
HIG-001,Shampoo 750 ml,Higiene Personal,pieza,78.00,50
HIG-002,Jabón de tocador 3 pack,Higiene Personal,paquete,42.00,70
HIG-003,Pasta dental 100 ml,Higiene Personal,pieza,36.50,85
HIG-004,Cepillo dental 2 pzas,Higiene Personal,paquete,45.00,60
HIG-005,Desodorante en barra 50 g,Higiene Personal,pieza,58.00,55
HIG-006,Rastrillo desechable 4 pzas,Higiene Personal,paquete,52.00,45
HIG-007,Toallas femeninas 14 pzas,Higiene Personal,paquete,48.50,65
HIG-008,"Pañal etapa 4, 40 pzas",Higiene Personal,paquete,189.00,30
